Date,Open,High,Low,Close,Adj Close,Volume,DAX_formula,counter
2/17/2015,208,209.649994,205.449997,209.100006,137.717926,65087,10895.62012,-149
2/18/2015,209.600006,213.149994,209.600006,213.050003,140.319473,79840,10961,-148
2/19/2015,213,218.649994,212,217.699997,143.382065,107207,11001.94043,-147
2/20/2015,217.149994,220.5,217.149994,218.800003,144.106552,74813,11050.63965,-146
2/23/2015,220.5,222.649994,220.5,222.149994,146.312927,67573,11130.91992,-145
2/24/2015,221.100006,222,218.5,220.399994,145.160339,47853,11205.74023,-144
2/25/2015,219.5,220.350006,216.550003,218.199997,143.71138,42961,11210.26953,-143
2/26/2015,216.5,220.350006,216.5,219.050003,144.271225,91994,11327.19043,-142
2/27/2015,220,223,208.300003,221.350006,145.786057,178252,11401.66016,-141
03/02/2015,223.699997,226.100006,222.350006,224.850006,148.091217,117677,11410.36035,-140
03/03/2015,225.5,225.550003,218.550003,219.449997,144.534668,71894,11280.36035,-139
03/04/2015,220.050003,221.100006,214.649994,220.5,145.226212,92706,11390.37988,-138
03/05/2015,222,223.399994,219.949997,223.199997,147.004486,70304,11504.00977,-137
03/06/2015,223.199997,227.899994,223.050003,227,149.507263,67152,11550.96973,-136
03/09/2015,226.399994,227.600006,223.699997,227.600006,149.902435,84165,11582.11035,-135
03/10/2015,228,228.350006,223.5,227.300003,149.704849,86237,11500.37988,-134
03/11/2015,228.449997,237.899994,228.350006,237.449997,156.389862,122126,11805.99023,-133
03/12/2015,237.5,238.199997,233.199997,235.75,155.270203,103179,11799.38965,-132
3/13/2015,238,240.699997,235.399994,240.699997,158.530396,114403,11901.61035,-131
3/16/2015,243,248.199997,242.300003,247.550003,163.041962,104586,12167.71973,-130
3/17/2015,252.100006,254.5,244.399994,247.5,163.009003,209114,11980.84961,-129
3/18/2015,249,249.949997,236.100006,239.149994,157.509521,188952,11922.76953,-128
3/19/2015,239.649994,241.550003,236.550003,239.949997,158.036407,126791,11899.40039,-127
3/20/2015,241.25,245.350006,239.100006,242.300003,159.584183,105068,12039.37012,-126
3/23/2015,240.100006,242.199997,232.600006,234,154.117615,100057,11895.83984,-125
3/24/2015,233,237.600006,228.25,237,156.093491,124573,12005.69043,-124
3/25/2015,237.449997,239.699997,234.399994,235.100006,154.842102,67403,11865.32031,-123
3/26/2015,230.100006,235.25,228.25,235.25,154.940903,106521,11843.67969,-122
3/27/2015,236.149994,239,232.550003,235.899994,155.369003,83953,11868.33008,-121
3/30/2015,236.399994,241.699997,236.300003,241.699997,159.189011,57920,12086.00977,-120
3/31/2015,241.850006,242,237.300003,240.050003,158.102295,82079,11966.16992,-119
04/01/2015,238.899994,240.850006,236.899994,238.949997,157.377792,82446,12001.37988,-118
04/02/2015,239.350006,239.5,236.25,237.800003,156.620377,43567,11967.38965,-117
04/07/2015,240.149994,240.75,236.850006,238,156.752106,45004,12123.51953,-116
04/08/2015,238.449997,239.600006,234.199997,238.350006,156.982635,74952,12035.86035,-115
04/09/2015,240,242.600006,239.149994,242,159.386581,53290,12166.44043,-114
04/10/2015,243.899994,245.300003,241.649994,244.800003,161.230743,85415,12374.73047,-113
4/13/2015,240,242.399994,239.800003,240.149994,158.168137,58472,12338.73047,-112
4/14/2015,240.449997,240.449997,236.800003,239.350006,157.641235,85803,12227.59961,-111
4/15/2015,240,240.350006,236.100006,236.550003,155.797104,88833,12231.33984,-110
4/16/2015,238.350006,238.350006,231.449997,232.75,153.294327,78935,11998.86035,-109
4/17/2015,232.699997,237.100006,227.850006,228.600006,150.56105,95285,11688.7002,-108
4/20/2015,229.649994,232.050003,226.300003,227.25,149.671921,89758,11891.91016,-107
4/21/2015,228.899994,229.899994,224.050003,225.699997,148.651047,85687,11939.58008,-106
