Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-07-14,127.23606872558594,129.4899898535979,125.77765426738745,125.9544287151928,313824
2020-07-15,136.56112670898438,140.1850678568337,127.50123774821193,127.50123774821193,526802
2020-07-16,144.51612854003906,147.0794084370367,138.28470323681336,139.2127798703165,794835
2020-07-17,133.90945434570312,149.77528251306686,128.65029533465946,145.84198241036793,849062
2020-07-20,128.16415405273438,135.27946601106794,126.57315522141326,135.1910860093861,409550
2020-07-21,126.39636993408203,130.37388878001252,125.9544266037474,128.16415769187995,334764
2020-07-22,120.73947143554688,127.05929133549277,119.81138756048573,125.95442579849016,334892
2020-07-23,117.07132720947266,124.18665383814161,116.01065888098523,120.73947274777035,443657
2020-07-24,111.6795883178711,118.22037978819398,110.57473001487129,117.07132426578237,429155
2020-07-27,109.60245513916016,113.49157246601993,105.27138724784842,111.81217908850027,511907
2020-07-28,108.98372650146484,110.04439482808465,105.66913707849926,109.60245149655049,359493
2020-07-29,106.72980499267578,109.82342273791942,105.62493944988029,108.9837260803116,371423
2020-07-30,98.55381774902344,108.27661435890455,98.37703608534919,106.7298054792312,564500
2020-07-31,100.40998840332031,102.39874789022527,98.50962335990795,99.43770727074099,326185
2020-08-03,94.13436126708984,102.22196164494312,94.13436126708984,101.64743387911265,434862
2020-08-04,93.2062759399414,95.23922530754867,90.68718603541309,94.35533145362963,473220
2020-08-05,88.61003875732422,93.294662431906,88.38906710012601,93.20627521267261,569642
2020-08-06,81.75989532470703,88.38907446601192,80.2351813792795,88.38907446601192,1026308
2020-08-07,69.69478607177734,81.49472199124233,69.69478607177734,81.38423976856403,1421470
2020-08-10,59.5300407409668,66.73375471702124,56.767884038906054,66.29180415883685,2211051
2020-08-11,61.85025405883789,66.5569730025002,59.53004069839112,59.552139309019005,1915616
2020-08-12,63.64013671875,65.67307896401489,61.87234892753127,64.08208005743978,1066976
2020-08-13,58.336788177490234,64.78919272636516,57.010954543307456,64.67870328182791,1192280
2020-08-14,55.2873649597168,59.11018984307863,54.049918608664385,58.336785422531534,867391
